2022-12-17 23:53:31 INFO  BoardController:131 - Zaladowano gre na poziomie srednim
2022-12-17 23:53:31 INFO  BoardController:88 - Stworzono sudoku
2022-12-17 23:53:34 INFO  BoardController:151 - Wybrano jezyk polski
2022-12-17 23:53:34 INFO  BoardController:143 - Wybrano jezyk angielski
2022-12-17 23:53:34 INFO  BoardController:151 - Wybrano jezyk polski
2022-12-17 23:53:35 INFO  BoardController:143 - Wybrano jezyk angielski
2022-12-17 23:53:35 INFO  BoardController:119 - Zaladowano gre na poziomie trudnym
2022-12-17 23:53:35 INFO  BoardController:88 - Stworzono sudoku
2022-12-17 23:53:36 INFO  BoardController:137 - Wybrano sprawdzenie tablicy
2022-12-18 14:52:15 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 14:52:15 INFO  BoardController:91 - Stworzono sudoku
2022-12-18 14:53:01 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 14:53:01 INFO  BoardController:91 - Stworzono sudoku
2022-12-18 14:54:37 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 14:54:37 INFO  BoardController:91 - Stworzono sudoku
2022-12-18 14:54:51 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 14:54:51 INFO  BoardController:91 - Stworzono sudoku
2022-12-18 15:11:50 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 15:11:50 INFO  BoardController:91 - Stworzono sudoku
2022-12-18 19:30:59 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:30:59 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:31:00 INFO  BoardController:147 - Wybrano sprawdzenie tablicy
2022-12-18 19:31:03 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 19:31:03 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:31:04 INFO  BoardController:147 - Wybrano sprawdzenie tablicy
2022-12-18 19:31:09 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:31:09 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:40:27 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:40:27 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:40:29 INFO  BoardController:154 - Wybrano sprawdzenie tablicy
2022-12-18 19:42:12 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 19:42:12 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:42:13 INFO  BoardController:154 - Wybrano sprawdzenie tablicy
2022-12-18 19:42:28 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:42:28 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:42:30 INFO  BoardController:154 - Wybrano sprawdzenie tablicy
2022-12-18 19:43:13 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:43:13 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:43:15 INFO  BoardController:154 - Wybrano sprawdzenie tablicy
2022-12-18 19:44:53 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:44:53 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:44:54 INFO  BoardController:154 - Wybrano sprawdzenie tablicy
2022-12-18 19:47:34 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:47:34 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:47:35 INFO  BoardController:162 - Wybrano sprawdzenie tablicy
2022-12-18 19:48:11 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:48:11 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:48:12 INFO  BoardController:162 - Wybrano sprawdzenie tablicy
2022-12-18 19:48:57 INFO  Controller:107 - Zaladowano gre na poziomie latwym
2022-12-18 19:48:57 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:48:58 INFO  BoardController:155 - Wybrano sprawdzenie tablicy
2022-12-18 19:49:11 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 19:49:11 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:49:11 INFO  BoardController:155 - Wybrano sprawdzenie tablicy
2022-12-18 19:49:14 INFO  BoardController:155 - Wybrano sprawdzenie tablicy
2022-12-18 19:49:16 INFO  BoardController:155 - Wybrano sprawdzenie tablicy
2022-12-18 19:50:37 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 19:50:37 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:50:38 INFO  BoardController:155 - Wybrano sprawdzenie tablicy
2022-12-18 19:56:31 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 19:56:31 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 19:56:32 INFO  BoardController:155 - Wybrano sprawdzenie tablicy
2022-12-18 20:00:36 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 20:00:36 INFO  BoardController:87 - Stworzono sudoku
2022-12-18 20:00:37 INFO  BoardController:154 - Wybrano sprawdzenie tablicy
2022-12-18 20:00:58 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-18 20:00:58 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:31:38 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:31:38 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 3
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 7
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 5
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 2
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 8
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 1
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 2
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 8
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 9
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 6
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 8
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 1
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 7
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 2
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 4
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 8
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 7
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 4
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 5
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 6
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 9
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 1
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 3
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 8
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 7
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 8
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 1
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 4
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 7
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 2
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 6
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 1
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 4
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 5
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 9
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 6
